id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
48541,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Wrangler Men Brown Belt
2915,Women,Apparel,Topwear,Tops,White,Fall,2010.0,Casual,DUSG Women Bandhavgarh Organic Aqua Top
27331,Women,Personal Care,Perfumes,Perfume and Body Mist,Black,Spring,2017.0,Casual,Jovan Women Black Musk Perfume
45407,Women,Footwear,Shoes,Flats,Brown,Summer,2012.0,Casual,Rocia Women Brown Sandals
8378,Girls,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Doodle Girl's Princess Lime Kidswear
12225,Men,Apparel,Topwear,Tshirts,Pink,Summer,2013.0,Casual,Basics Men Pack of 3 T-shirts
32005,Men,Accessories,Socks,Socks,Grey,Summer,2016.0,Formal,Playboy Men Grey Socks
7440,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Proline Men Navy Polo T-shirt
34867,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Envirosax Women Black Bag
12813,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Sports White Casual Shoes
6427,Unisex,Footwear,Shoes,Casual Shoes,Purple,Summer,2011.0,Casual,Lotto Unisex Canvas Purple Shoe
37578,Girls,Accessories,Gloves,Gloves,Green,Summer,2012.0,Casual,Madagascar 3 Infant Girls Light Green Mittens
41048,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Nautica Men Black Dial Chronograph Watch
54805,Women,Accessories,Bags,Handbags,Red,Summer,2012.0,Casual,Ivory Tag Plaided Medley Red Handbag
32372,Unisex,Accessories,Watches,Watches,Red,Winter,2016.0,Casual,Q&Q Unisex White Dial Watch
22628,Boys,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Sports,Nike Boy Grey T-shirt
21923,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,BIBA Women Printed Black Kurta
29870,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016.0,Casual,Mayhem Men Aviator Sunglasses 1023-201
53688,Women,Accessories,Bags,Handbags,Yellow,Summer,2012.0,Casual,Kiara Women Yellow & Orange Handbag
34037,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Palm Tree Boys Check Blue Shirt
44886,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Black Polo T-shirt
14168,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Formal,Belmonte Men Shiny Black  Belts
9350,Men,Accessories,Socks,Socks,White,Fall,2011.0,Casual,Puma Men Sport Pack of 3 White Black Socks
28054,Men,Apparel,Innerwear,Briefs,Grey,Winter,2016.0,Casual,Jockey Pack of 2 Men Grey Pebble Briefs
23813,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,Puma Men Jiff Black Flip Flops
33388,Women,Accessories,Wallets,Wallets,Pink,Summer,2012.0,Casual,Baggit Women Dabang Taj Pink Wallet
2012,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Mens Graphic White T-shirt
54320,Women,Apparel,Innerwear,Briefs,Pink,Summer,2017.0,Casual,Garfield Women Pink String Briefs
31191,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2015.0,Casual,Cabarelli Men Accessory Gift Set
56952,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,HM Women Brown Heels
1852,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Inkfruit Men Ride It Or Die T-shirt
55979,Women,Personal Care,Lips,Lipstick,Peach,Summer,2019.0,Casual,Colorbar Velvet Matte Peach Crush Lipstick 59P
11054,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men Check Blue Shirts
25734,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Wrangler Men Canvas Brown Belt
2169,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Probase Men Red & Blue Shirt
55910,Women,Personal Care,Nails,Nail Polish,Rust,Spring,2017.0,Casual,Colorbar Starhit Pink Nail Lacquer 72
25246,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Lino Perros Women Leatherette Brown Handbag
36002,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Ben 10 Boys Crew Navy Blue and Green T-shirt
6760,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Timberland Men's Asortd Strp Pique Navy T-Shirt
57704,Women,Personal Care,Skin,Face Moisturisers,Cream,Spring,2017.0,,Lotus Herbals Cocomoist Moisturising Lotion
46682,Men,Personal Care,Fragrance,Perfume and Body Mist,Silver,Spring,2017.0,Casual,Rasasi Men Emotion Perfume
39621,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Catwalk Women Golden Heels
12431,Women,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Timberland Women Casual Brown Casual Shoes
56230,Men,Apparel,Loungewear and Nightwear,Night suits,Black,Summer,2016.0,Casual,SDL by Sweet Dreams Men Black Pyjama Set
12740,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011.0,Casual,Timberland Unisex Solid Black Backpacks
41023,Men,Accessories,Belts,Belts,Navy Blue,Summer,2012.0,Casual,Lee Men Navy Blue Belt
5829,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,ADIDAS Men's Prt Blue T-shirt
53587,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Men White Dial Watch
36784,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Maxima Men Silver Dial Scuba Watch
8462,Women,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,Jealous 21 Women Jealous Cailyn White Top White Tops
16471,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Locomotive Men Check Red Shirt
56188,Women,Personal Care,Makeup,Compact,Skin,Summer,2019.0,Casual,ColorBar Radiant White UV Fairness Shell Compact 002
55255,Women,Personal Care,Makeup,Kajal and Eyeliner,Teal,Spring,2017.0,Casual,Lakme Glide On Deep Teal Eye Color
3560,Men,Footwear,Shoes,Casual Shoes,White,Winter,2015.0,Casual,Skechers Men Off White Lifestyle Casual Shoe
22454,Women,Apparel,Bottomwear,Leggings,Red,Fall,2011.0,Casual,Myntra Women Red Leggings
9503,Men,Apparel,Topwear,Shirts,Peach,Fall,2011.0,Formal,John Miller Men Peach Shirt
16787,Unisex,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,ADIDAS Unisex Digital Grey Watch
45921,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Dial Watch
37913,Women,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Mineral Women Yellow Top
58536,Men,Accessories,Eyewear,Sunglasses,Metallic,Winter,2016.0,Casual,Miami Blues Men Sunglasses
47648,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2012.0,Formal,Carlton London Men Brown Formal Shoes
32203,Men,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Fabindia Men Printed Blue Kurta
27902,Women,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Casual,Scullers For Her Women Black Trousers
26441,Women,Accessories,Bags,Handbags,Grey,Winter,2015.0,Casual,Spice Art Women Leatherette Grey Handbag
35338,Women,Accessories,Jewellery,Pendant,Green,Winter,2016.0,Ethnic,Fabindia Women Anusuya Green Pendant
52659,Women,Accessories,Bags,Handbags,Cream,Summer,2012.0,Casual,Mod'acc Women Blue & Cream Handbag
2119,Women,Apparel,Topwear,Shirts,Pink,Winter,2010.0,Casual,Lee Women Pink Shirt
44568,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Coolers Men Brown Sandals
51876,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,U.S. Polo Assn. Men Black Sandals
23901,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Fila Men Emperro Black Sandals
24540,Women,Apparel,Topwear,Kurtas,Beige,Fall,2011.0,Ethnic,Mother Earth Women Beige Printed Kurta
24543,Women,Apparel,Topwear,Tops,Beige,Fall,2011.0,Ethnic,Mother Earth Women Beige Printed Top
12162,Women,Apparel,Bottomwear,Leggings,Green,Fall,2011.0,Ethnic,Aurelia Women Solid Blue Leggings
57860,Women,Personal Care,Skin Care,Toner,Green,Spring,2017.0,,Biotique Bio Cucumber Pore Tightening Freshener
12234,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,Genesis Men Check Black Shirts
14695,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Casual,Basics Men Black Trousers
9476,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,John Miller Men Blue Check Shirt
27498,Women,Apparel,Innerwear,Camisoles,Pink,Winter,2015.0,Casual,Jockey Pink Camisole
57962,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,Prafful Women Multi Coloured Sari
25684,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men White Innerwear T-Shirt
14314,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,ADIDAS Men Solid White Jerseys
48724,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013.0,Casual,Lucera Women Silver Earrings
33456,Women,Accessories,Bags,Handbags,Green,Summer,2012.0,Casual,Baggit Women Billuz Roy Green Handbag
49235,Men,Accessories,Headwear,Caps,Navy Blue,Fall,2012.0,Casual,Arrow Men Navy Blue Cap
51318,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2015.0,Casual,Wildcraft Unisex Blue Cauvery Backpack
57438,Women,Apparel,Topwear,Tshirts,Charcoal,Summer,2015.0,Casual,Angry Birds Women Charcoal T-shirt
5023,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Levis Kids Boy's Chad Red Kidswear
17553,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Formal,Mark Taylor Men Grey & White Striped Shirt
56028,Women,Personal Care,Lips,Lipstick,Maroon,Spring,2017.0,Casual,Colorbar Soft Touch Spring Fling Lipstick 023
46668,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Rasasi Men Deo
57181,Women,Apparel,Topwear,Tunics,Black,Summer,2012.0,Casual,Elle Women Black Tunic
25048,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015.0,Formal,Lino Perros Men Formal Purple Accessory Gift Set
24756,Men,Apparel,Topwear,Sweaters,Green,Fall,2011.0,Casual,Spykar Men Green Sweaters
5571,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Makis White Shoe
21921,Women,Apparel,Topwear,Tunics,Pink,Fall,2011.0,Ethnic,BIBA OUTLET Women Printed Multi Tunic
9271,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,John Miller Men Stripes Grey White Shirts
48833,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012.0,Casual,Lucera Women Silver Pendant
22005,Women,Accessories,Bags,Handbags,Red,Winter,2015.0,Casual,Murcia Women Casual Red Handbag
33703,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2012.0,Smart Casual,Cobblerz Men Brown Casual Shoes
46743,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2012.0,Sports,Nike Men Black Track Pants
36451,Men,Footwear,Shoes,Sports Shoes,Black,Spring,2013.0,Sports,Spinn Men Swift Black Sports Shoes
14783,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Arrow Men Check Purple Shirts
46049,Women,Accessories,Jewellery,Earrings,Gold,Winter,2016.0,Casual,Estelle Gold Earrings
18415,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Skechers Men USA Brown Shoe
36649,Women,Accessories,Wallets,Wallets,Turquoise Blue,Summer,2012.0,Casual,Paridhan Women Turquoise Blue Lace Coin Pouch Wallet
41653,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Mark Taylor Men Blue Striped Shirt
7288,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Mickey Men's Big Happy Face Grey Heather T-shirt
53619,Unisex,Free Items,Free Gifts,Free Gifts,Blue,Winter,2016.0,Casual,Q&Q Unisex Blue Digital Watch
56216,Women,Accessories,Jewellery,Earrings,Gold,Winter,2016.0,Casual,Estelle Women Gold Earrings
56151,Women,Personal Care,Makeup,Kajal and Eyeliner,Black,Spring,2017.0,Casual,Colorbar Kohl Intense Blackened Eye Liner 001
54907,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Do u speak green Boys T-shirt
49545,Women,Accessories,Bags,Handbags,Gold,Summer,2012.0,Casual,Rocia Women Gold Handbag
28386,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Idee Men Black Sunglasses
57214,Women,Apparel,Bottomwear,Shorts,Blue,Fall,2012.0,Casual,Kraus Jeans Women Blue Shorts
10671,Boys,Apparel,Bottomwear,Shorts,Green,Fall,2011.0,Casual,Doodle Boy Army  Green Shorts
58037,Women,Accessories,Jewellery,Earrings,Silver,Fall,2012.0,Casual,Rreverie Silver Earrings
12606,Women,Apparel,Topwear,Tops,Cream,Fall,2011.0,Casual,Jealous 21 Women Printed Cream Tops
40952,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Wild West Red T-shirt
31320,Women,Apparel,Topwear,Kurtas,Off White,Summer,2012.0,Ethnic,Aurelia Women Printed Red Kurta
51626,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,FOSSIL Women White Dial Watch ES3018
39930,Unisex,Accessories,Bags,Laptop Bag,Brown,Fall,2012.0,Casual,Tortoise Unisex Brown Laptop Bag
35491,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012.0,Formal,Bata Men Mocassino Brown Formal Shoes
22327,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,John Players Men Stripes Orange Polo T-Shirt
41241,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Arrow Men Black & Brown Reversible Belt
44026,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017.0,Casual,Boss Women Perfume
31888,Women,Accessories,Stoles,Stoles,Blue,Summer,2012.0,Ethnic,Fabindia Women Chanderi Blue Stole
13989,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Men Future Cat M1 Black Casual Shoes
22758,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011.0,Ethnic,BIBA Women Printed Blue Kurta
19433,Men,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Quiksilver Men Black Beanie Cap
38823,Women,Apparel,Topwear,Shirts,Navy Blue,Fall,2012.0,Casual,Latin Quarters Women Navy Blue Shirt
16888,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Police Men Casual Black Sunglasses
31104,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Pack of 2 T-shirts
1647,Unisex,Accessories,Bags,Backpacks,Green,Summer,2011.0,Sports,Quechua Unisex Ultralight 16 Ltr Green Backpack
29115,Men,Accessories,Socks,Socks,White,Summer,2012.0,Casual,Puma Men Foundation Quarters White Socks
34041,Boys,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Check Red Shirt
16354,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Peter England Men Solid White Shirt
57589,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Lotus Herbals Moistpetals Cocoa Beans Lipstick 163
14296,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Classic Polo Men Printed pack of 3 Tshirts
46893,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Locomotive Men Blue Jeans
5412,Boys,Apparel,Bottomwear,Shorts,Black,Summer,2011.0,Casual,Ant Kids Boy's Black Dungree Kidswear
23447,Women,Apparel,Topwear,Tops,Lavender,Summer,2011.0,Ethnic,Satya Paul Women Lavender Printed Top
17112,Women,Accessories,Bags,Clutches,Grey,Winter,2015.0,Casual,Lino Perros Women Beaded Grey Clutch
32229,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Fabindia Women Printed Green Kurta
40513,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Titan Men White Dial Watch
53601,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Q&Q Men Black Digital Watch M075J002Y
53815,Women,Apparel,Topwear,Kurtas,White,Fall,2012.0,Ethnic,Ayaany Women White Printed Kurta
17955,Women,Accessories,Headwear,Caps,Blue,Fall,2011.0,Sports,Nike Women Stay Cool Blue Cap
33730,Women,Accessories,Belts,Belts,Multi,Summer,2012.0,Casual,Pieces Women Multi Coloured Belt
59944,Men,Footwear,Shoes,Casual Shoes,Cream,Spring,2013.0,Casual,Vans Men Black & Cream Casual Shoes
35538,Girls,Footwear,Sandal,Sandals,Pink,Summer,2012.0,Casual,Enroute Teens Pink Sandals
19532,Men,Apparel,Topwear,Sweaters,Red,Summer,2011.0,Casual,United Colors of Benetton Men Solid Red Sweater
4543,Women,Footwear,Shoes,Sports Shoes,Purple,Summer,2011.0,Sports,Nike Womens Air Rele Purple Shoe
43056,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Men Black Speed Cricket T-shirt
21295,Women,Accessories,Eyewear,Sunglasses,Metallic,Winter,2016.0,Casual,Celine Dion Women Metalic Frame Sunglasses
31689,Women,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Nike Women Lunarfly Grey Sports Shoes
4431,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Wrangler Men's Engine Broad Stripe Polo Black T-shirt
24188,Unisex,Footwear,Shoes,Casual Shoes,Red,Summer,2012.0,Casual,Converse Unisex Chuck Taylor All Stars Red Casual Shoes
10097,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Reebok Men Reeflex Run White Sports Shoes
18904,Unisex,Accessories,Headwear,Caps,Navy Blue,Fall,2011.0,Casual,ADIDAS Originals Unisex Adicolor Navy Blue Cap
41811,Women,Apparel,Innerwear,Bra,Black,Summer,2017.0,Casual,Enamor Women Black Bra
28074,Men,Apparel,Innerwear,Trunk,Grey Melange,Summer,2016.0,Casual,Jockey MC Men Grey Melange Midway Classic Trunks 1101
42839,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,French Connection Women Brown Handbag
24061,Men,Apparel,Topwear,Tshirts,Brown,Summer,2012.0,Casual,Locomotive Men Light Brown Striped T-shirt
34519,Men,Footwear,Sandal,Sandals,Grey,Summer,2012.0,Casual,ADIDAS Men Chicane Grey Sandals
42148,Women,Footwear,Shoes,Sports Shoes,White,Fall,2012.0,Sports,Nike Women White Diffusion Sports Shoes
58448,Men,Accessories,Watches,Watches,Olive,Winter,2016.0,Casual,Fossil Men Olive Green Dial Chronograph Watch FS4660
43345,Men,Footwear,Shoes,Casual Shoes,Olive,Summer,2013.0,Casual,Reebok Men Olive Blaze Ultra Casual Shoes
30319,Men,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Myntra Men Feared Strom Drive Pink T-shirt
51081,Women,Free Items,Free Gifts,Free Gifts,Yellow,Summer,2012.0,Ethnic,Satya Paul Yellow & Black Saree
16615,Men,Apparel,Bottomwear,Trousers,Charcoal,Fall,2011.0,Formal,Genesis Men Solid Charcoal Trouser
2184,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Probase Men Navy Blue T-shirt
51142,Men,Accessories,Socks,Socks,White,Summer,2016.0,Casual,Parx Men White Socks
8777,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Price catch Blue Shirts
17765,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2011.0,Formal,Buckaroo Men Nieves Brown Formal Shoe
24422,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,ADIDAS Men AX1 Black Casual Shoes
29507,Women,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Giordano Women Blue Dial Watch
36727,Girls,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Gini and Jony Girls Printed Blue Top
9707,Men,Footwear,Sandal,Sandals,Brown,Fall,2011.0,Formal,Hush Puppies Men Walsh Brown Sandals
24521,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Mother Earth Women Green Printed Kurta
19459,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Quiksilver Men Basic Grey T-shirt
12544,Women,Apparel,Topwear,Tshirts,Peach,Fall,2011.0,Casual,Tantra Women Printed Peach T-shirt
34803,Men,Accessories,Belts,Belts,Green,Summer,2012.0,Casual,Flying Machine Men Woven Green Belt
51941,Women,Accessories,Bags,Handbags,Purple,Summer,2016.0,Casual,Nyk Women Purple Curly Sling Bag
39325,Girls,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Gini and Jony Girls Printed Yellow Top
8793,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Red & Blue Check Shirt
54595,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012.0,Ethnic,Sushilas Women Multi Coloured Kurta
6532,Women,Apparel,Bottomwear,Skirts,Pink,Summer,2011.0,Sports,Nike Women's Border Pink Skirt
13533,Women,Footwear,Shoes,Casual Shoes,Pink,Fall,2011.0,Casual,ADIDAS Pink Adi light Casual Shoe
14575,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Vans Men Authentic White Casual Shoes
51007,Women,Apparel,Innerwear,Bra,Black,Summer,2017.0,Casual,Enamor Black Full Figure Bra
16851,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Idee Women Funky Eyewear Black Sunglasses
45826,Women,Footwear,Shoes,Heels,Blue,Summer,2012.0,Casual,Senorita Women Blue Flats
57355,Women,Apparel,Innerwear,Bra,Black,Winter,2015.0,Casual,Amante Black Full-Coverage Bra BGSK01
11909,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2011.0,Formal,Franco Leone Men Formal Black Formal Shoes
58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Rocky S Women Brown Handbag
42995,Women,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Nike Women Black Air Total Sports Shoes
51924,Women,Accessories,Bags,Handbags,Off White,Summer,2016.0,Casual,Nyk Women Off White Sling Bag
28314,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2018.0,Formal,Red Tape Men Brown Shoes
56942,Women,Footwear,Shoes,Heels,Beige,Winter,2012.0,Casual,HM Women Beige Flats
7540,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike men's As Spher Blue T-shirt
32234,Women,Apparel,Topwear,Kurtas,Grey,Summer,2012.0,Ethnic,Fabindia Women Printed Grey Kurta
52515,Women,Apparel,Innerwear,Camisoles,Skin,Winter,2015.0,Casual,Red Rose Skin Cream Bra
41831,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Skechers Men Brown Shoes
53561,Unisex,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,Q&Q Unisex Pink Dial Watch
52235,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Pepe Jeans Men Dark Blue Jeans
19995,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Printed Black TShirt
52031,Unisex,Apparel,Topwear,Rain Jacket,Black,Summer,2012.0,,Just Natural Unisex Black Rain Jacket
51549,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Women Black Watch
42984,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men White Sports Shoes
5474,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Force 1 '07 White Sports Shoes
4035,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Not Tonight Ladies I am Just Black T-shirt
21805,Men,Accessories,Wallets,Wallets,Black,Winter,2016.0,Casual,Fossil Men Walter Traveller Black Wallet
58279,Women,Accessories,Bags,Handbags,White,Fall,2012.0,Casual,Baggit Women White Handbag
23213,Women,Apparel,Topwear,Kurtas,White,Fall,2011.0,Ethnic,Aneri Women Gauri White Kurta
27472,Women,Apparel,Innerwear,Bra,Black,Summer,2017.0,Casual,Jockey Essence Black Bra 2001
